Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,119.879997,121.900002,119.260002,121.610001,112.970139,939200
2018-05-15,121.290001,121.440002,118.779999,119.919998,111.400223,878100
2018-05-16,120.639999,121.500000,118.660004,119.029999,110.573433,855200
2018-05-17,119.139999,120.580002,118.080002,119.790001,111.279442,1054900
2018-05-18,119.370003,119.860001,118.209999,118.320000,109.913902,1087000
2018-05-21,118.400002,119.639999,116.379997,119.150002,110.684929,1482900
2018-05-22,123.550003,125.889999,113.610001,115.330002,107.136314,3940200
2018-05-23,115.820000,123.629997,115.629997,123.250000,114.493614,1964800
2018-05-24,123.320000,126.000000,120.959999,125.169998,116.277214,1270200
2018-05-25,124.690002,126.239998,124.410004,124.910004,116.035690,1173100
2018-05-29,124.360001,124.989998,123.059998,123.959999,115.153175,1163300
2018-05-30,124.000000,128.660004,123.519997,128.529999,119.398514,1223900
2018-05-31,128.339996,129.410004,126.000000,128.619995,119.482109,1535200
2018-06-01,128.839996,129.669998,127.260002,128.339996,119.222000,993000
2018-06-04,129.000000,131.979996,128.990005,129.910004,120.680466,1008600
2018-06-05,129.770004,130.860001,129.240005,129.949997,120.717613,881200
2018-06-06,130.110001,131.490005,129.470001,130.589996,121.312126,1173200
2018-06-07,131.000000,131.979996,129.660004,130.050003,120.810501,1506100
2018-06-08,129.910004,132.669998,128.509995,131.710007,122.352592,863800
2018-06-11,132.240005,133.179993,131.339996,132.729996,123.300110,875600
2018-06-12,133.649994,134.750000,132.830002,133.639999,124.145454,887700
2018-06-13,133.369995,133.580002,131.490005,132.679993,123.253632,771100
2018-06-14,133.270004,133.990005,132.570007,133.500000,124.015404,816200
2018-06-15,133.490005,137.330002,133.020004,137.160004,127.415398,1652900
2018-06-18,136.139999,138.380005,135.830002,138.240005,128.418655,1226100
2018-06-19,136.899994,139.169998,136.399994,138.300003,128.474411,986100
2018-06-20,139.199997,140.220001,137.470001,139.160004,129.273300,849600
2018-06-21,139.100006,140.100006,137.789993,139.500000,129.645035,783800
2018-06-22,143.419998,143.419998,137.809998,138.850006,129.040970,1377800
2018-06-25,137.940002,137.990005,135.210007,137.270004,127.572563,915900
2018-06-26,137.520004,139.169998,136.460007,137.070007,127.386696,745600
2018-06-27,137.119995,137.690002,134.009995,134.380005,124.886719,1124400
2018-06-28,134.199997,136.179993,133.320007,135.110001,125.565147,1039800
2018-06-29,135.809998,137.869995,135.270004,135.699997,126.113487,725300
2018-07-02,135.000000,135.160004,133.419998,134.699997,125.184143,662500
2018-07-03,136.149994,136.639999,134.399994,135.009995,125.472214,339600
2018-07-05,135.440002,135.899994,134.000000,135.860001,126.262199,957000
2018-07-06,137.220001,138.000000,136.020004,137.169998,127.479637,889500
2018-07-09,137.589996,141.580002,137.470001,140.949997,130.992630,950800
2018-07-10,140.940002,141.910004,139.399994,140.649994,130.713776,963300
2018-07-11,139.820007,139.820007,136.369995,139.080002,129.254715,710200
2018-07-12,140.369995,140.889999,138.190002,138.789993,128.985184,441200
2018-07-13,139.300003,141.699997,138.919998,139.339996,129.496307,835000
2018-07-16,139.669998,140.539993,139.020004,139.669998,129.803024,505100
2018-07-17,139.149994,141.289993,139.149994,140.279999,130.369919,809100
2018-07-18,140.190002,140.839996,139.089996,139.970001,130.081818,685800
2018-07-19,139.850006,143.699997,139.440002,143.369995,133.241638,1123700
2018-07-20,142.850006,143.440002,141.729996,142.669998,132.591110,585700
2018-07-23,142.139999,145.199997,142.139999,144.660004,134.440536,686100
2018-07-24,145.100006,145.149994,139.440002,139.990005,130.100388,800400
2018-07-25,139.399994,140.649994,138.669998,140.470001,130.546524,794700
2018-07-26,141.000000,143.809998,140.320007,141.779999,131.763962,775700
2018-07-27,142.410004,143.130005,139.429993,139.850006,129.970322,370300
2018-07-30,139.850006,141.399994,139.589996,140.679993,130.741684,428100
2018-07-31,140.869995,141.979996,139.800003,141.229996,131.252823,463100
2018-08-01,140.520004,141.440002,139.660004,139.750000,129.877380,540200
2018-08-02,139.399994,143.690002,139.399994,143.259995,133.139389,654000
2018-08-03,144.250000,145.660004,143.029999,144.679993,134.459091,535000
2018-08-06,145.520004,145.830002,143.490005,145.100006,134.849396,679500
2018-08-07,145.389999,146.309998,144.330002,145.160004,134.905197,940300
2018-08-08,145.320007,146.759995,145.100006,146.410004,136.066849,530900
2018-08-09,146.919998,148.699997,146.460007,147.789993,137.349380,763400
2018-08-10,146.839996,147.910004,145.119995,146.350006,136.011108,1006400
2018-08-13,147.000000,147.839996,144.500000,144.839996,134.607819,1407000
2018-08-14,153.339996,159.500000,152.320007,156.130005,145.100204,4487600
2018-08-15,157.979996,158.740005,155.630005,158.029999,146.865997,1503100
2018-08-16,158.500000,160.630005,158.500000,159.490005,148.222855,1415900
2018-08-17,159.649994,160.160004,159.009995,159.720001,148.436569,965900
2018-08-20,160.440002,161.250000,160.000000,160.839996,149.477478,999200
2018-08-21,161.220001,161.710007,159.350006,160.149994,148.836197,1193800
2018-08-22,160.539993,161.970001,160.300003,160.729996,149.375229,804200
2018-08-23,161.259995,163.360001,160.949997,163.259995,151.726532,891300
2018-08-24,163.149994,165.070007,162.570007,164.360001,152.748779,729300
2018-08-27,164.869995,164.990005,161.839996,161.979996,150.536926,1064200
2018-08-28,162.210007,162.910004,160.000000,162.100006,150.648468,1096700
2018-08-29,162.339996,164.229996,161.130005,163.559998,152.005295,765000
2018-08-30,163.419998,163.639999,161.160004,161.800003,150.369644,916300
2018-08-31,161.470001,164.339996,161.470001,164.029999,152.442108,960700
2018-09-04,164.509995,169.589996,164.199997,169.479996,157.507065,1371600
2018-09-05,169.410004,170.910004,166.809998,167.000000,155.202332,1018200
2018-09-06,167.970001,169.389999,166.770004,167.220001,155.406754,775600
2018-09-07,167.229996,169.220001,167.089996,167.279999,155.462479,763200
2018-09-10,168.470001,169.089996,166.139999,166.929993,155.137238,910200
2018-09-11,166.929993,168.419998,166.649994,167.240005,155.425308,738500
2018-09-12,167.139999,168.690002,166.289993,167.100006,155.295258,1119600
2018-09-13,167.100006,167.990005,165.279999,166.729996,154.951340,835800
2018-09-14,166.949997,167.919998,165.190002,165.449997,153.761810,995800
2018-09-17,167.509995,169.759995,163.210007,163.500000,151.949570,1093400
2018-09-18,159.750000,167.800003,159.000000,167.649994,155.806351,1272400
2018-09-19,167.919998,169.990005,167.339996,169.600006,157.618622,1110400
2018-09-20,170.139999,170.750000,167.009995,169.550003,157.627945,879900
2018-09-21,170.820007,171.330002,168.199997,168.440002,156.595963,1605300
2018-09-24,167.699997,168.500000,167.009995,167.649994,155.861481,894900
2018-09-25,168.000000,168.429993,165.740005,167.320007,155.554733,691800
2018-09-26,167.910004,170.669998,166.350006,169.330002,157.423386,754200
2018-09-27,169.419998,170.919998,169.169998,169.789993,157.851013,739700
2018-09-28,169.710007,171.039993,167.830002,168.330002,156.493713,1309700
2018-10-01,169.020004,170.639999,168.190002,169.600006,157.674393,591600
2018-10-02,170.470001,171.130005,168.029999,168.399994,156.558762,819300
2018-10-03,168.679993,168.910004,167.210007,167.600006,155.815033,535500
2018-10-04,167.699997,167.699997,165.080002,165.710007,154.057907,769500
2018-10-05,165.630005,167.449997,164.309998,165.830002,154.169525,938800
2018-10-08,165.399994,169.160004,165.399994,168.360001,156.521591,784700
2018-10-09,168.270004,171.500000,168.160004,168.889999,157.014313,850400
2018-10-10,169.000000,169.649994,162.869995,163.169998,151.696503,997300
2018-10-11,162.869995,165.529999,160.600006,161.039993,149.716278,1345400
2018-10-12,163.580002,165.949997,162.619995,165.119995,153.509399,1096700
2018-10-15,165.000000,168.679993,164.759995,166.929993,155.192139,644900
2018-10-16,170.699997,170.699997,163.779999,168.369995,156.530899,1067700
2018-10-17,166.809998,167.800003,154.020004,159.580002,148.358994,1967500
2018-10-18,159.720001,163.000000,158.520004,162.190002,150.785446,1393600
2018-10-19,163.300003,166.759995,162.369995,164.330002,152.774963,1406100
2018-10-22,164.389999,165.649994,162.990005,164.770004,153.184021,1426000
2018-10-23,162.440002,165.139999,161.389999,163.970001,152.440292,1037800
2018-10-24,163.500000,167.020004,158.850006,159.179993,147.987106,1418200
2018-10-25,159.410004,164.410004,157.130005,163.169998,151.696503,1350400
2018-10-26,161.699997,165.520004,160.210007,164.550003,152.979507,1668600
2018-10-29,166.710007,168.520004,162.910004,164.869995,153.277008,1627400
2018-10-30,165.160004,165.619995,163.179993,164.970001,153.369965,1020000
2018-10-31,166.089996,166.089996,159.669998,159.759995,148.526321,1749400
2018-11-01,159.960007,164.350006,158.100006,163.509995,152.012619,1018400
2018-11-02,165.020004,165.690002,163.720001,165.000000,153.397827,1089200
2018-11-05,165.240005,166.110001,163.289993,165.110001,153.500122,1250700
2018-11-06,166.559998,168.789993,165.690002,168.089996,156.270584,1085900
2018-11-07,169.210007,170.559998,167.080002,170.509995,158.520355,888700
2018-11-08,170.119995,173.690002,169.449997,172.449997,160.324036,1354200
2018-11-09,172.660004,174.710007,170.690002,171.179993,159.143295,1202300
2018-11-12,170.330002,170.899994,166.190002,167.059998,155.313019,1522400
2018-11-13,184.070007,185.500000,177.509995,184.720001,171.731216,3662700
2018-11-14,185.990005,186.149994,177.610001,177.679993,165.186234,1806900
2018-11-15,176.880005,180.440002,174.800003,179.050003,166.459930,1026600
2018-11-16,177.550003,179.490005,176.000000,179.210007,166.608673,876000
2018-11-19,179.149994,182.490005,176.899994,177.750000,165.251358,856700
2018-11-20,174.050003,177.669998,171.119995,171.529999,159.468704,891900
2018-11-21,171.500000,176.089996,171.410004,174.669998,162.387909,893700
2018-11-23,173.699997,178.529999,173.660004,177.240005,164.777191,325700
